ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.368971', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 516, 'protocol_type': 2, 'src_bytes': 516, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.369979', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 500, 'protocol_type': 2, 'src_bytes': 500, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.371271', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 500, 'protocol_type': 2, 'src_bytes': 500, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.665610', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 500, 'protocol_type': 2, 'src_bytes': 500, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.667429', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 500, 'protocol_type': 2, 'src_bytes': 500, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.668655', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 516, 'protocol_type': 2, 'src_bytes': 516, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.669740', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 500, 'protocol_type': 2, 'src_bytes': 500, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.670575', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 498, 'protocol_type': 2, 'src_bytes': 498, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.671410', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 445, 'protocol_type': 2, 'src_bytes': 445, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:05.672205', 'src_ip': '192.168.0.1', 'dst_ip': '239.255.255.250', 'src_port': 55099, 'dst_port': 1900, 'protocol': 'UDP', 'packet_length': 484, 'protocol_type': 2, 'src_bytes': 484, 'dst_bytes': 0} | Predicted label: 11
